,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62
120155,Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120320,Brunei Darussalam,BRN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8381594348847,30.0462831993621,37.8825205941001,36.6115330751906,42.3088889783222,45.5892584015209,39.4227440214599,48.2099198431507,37.0597078901685,36.594937312864204,34.7096739406741,29.8382372349661,20.881355362978198,30.7082045349756,16.6789167866155,15.4937993642372,,
120512,Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08362189010565,3.93049837597172,1.8882815551510599,1.4380217893431397,1.83675498095092,0.765769354306188,2.10354465328511,1.5436880440439902,3.0336909783197497,3.5070368794784903,3.7309491837843,4.54054508745042,4.2867762235963305,3.32131448333108,1.32470174845995,-1.32054553923561,3.8582133611930494,
120528,Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.355463068303536,20.1553943567083,10.916697055666301,6.7758344222612,22.562428763821,-6.99670298402471,-19.8267158647435,3.9566549383826803,0.501465965857875,0.59987654172437,-1.49074908033609,-2.7154699532441495,2.00912981362838,1.0973671657358501,-1.07417857262092,1.0894205354875501,3.1459413616626604,4.75858084552159,0.30457287414186895,3.1453973953587697,4.4787073398374595,2.8783177472123502,-1.47117157218256,-0.5585088510974711,3.05215714160208,2.8494218578272794,2.7440405176520004,3.8720969670429803,2.90395547653115,0.504318252687327,0.38750720823208007,4.39771967752176,0.15458181174277302,-1.93971463784671,-1.76453554132601,2.5989657464322597,3.74531835205994,0.9128416709644109,-2.12602851740175,-2.349746749517,-0.566814608844453,-2.46551470989569,1.32875139470671,
120686,Brunei Darussalam,BRN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,5.51896385125062,5.627126780342211,8.38109941297269,-2.17142932533827,12.6718897423209,86.11396726610201,9.021595023977302,-4.8384433326173,-11.4200353159013,-1.27417156323986,-2.4649410473007998,-31.904747575869397,10.72996071346,-7.66907302175966,8.69804995888528,8.40996376629136,-2.83728082295565,1.7268753562391899,-2.95148952716741,-8.76362652690173,2.8729975322006696,4.48875581511781,8.58485338489292,-11.6485735659254,11.5939764773489,29.015709174167398,-5.59189804976489,0.374209528530272,6.10461106430277,15.886164657530598,18.7663191432748,10.0477214755424,1.12044769381039,12.6927299583618,-22.091416476352002,16.688282846399698,20.1805054151625,1.2216530541679398,-2.82415369383664,-2.00588055506435,-17.4682752333897,-9.181007995387631,4.955242910297669,
121430,Brunei Darussalam,BRN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121455,Brunei Darussalam,BRN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121559,Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,8.2519998550415,7.849999904632571,8.062999725341799,8.69600009918213,10.0410003662109,7.6680002212524405,7.84200000762939,6.5479998588562,6.037000179290769,,,,,,,,4.699999809265139,,,,,,,,,,,,,,,,,,,,1.7200000286102302,,,6.9650998115539595,,,9.315999984741211,
128155,Cambodia,KHM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128320,Cambodia,KHM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.10154589334763,-5.61001723936974,-5.39636443070654,-5.272770003053941,-6.09569564576151,-5.56266216923167,-5.332533224802121,-3.7002858341354,-2.20577096842241,-2.50481147083125,-5.01128423995143,-3.42672850671081,-4.8782968078028395,-3.2148667319753397,-4.9000850021800195,-7.921003111384,-7.1277204021751395,-4.78709423859793,-5.96261962571391,-8.19227914600564,-13.029937896103599,-9.82166005079154,-9.371931459193439,-8.86840352162443,,
128512,Cambodia,KHM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1361412398871003,2.46826428986319,4.38218500888824,8.37255420712081,5.9156417486499295,7.7817266335275495,6.60286377629779,3.21674431167286,3.6767564270620494,3.05685091512561,1.75131657873445,2.46197704527502,5.993602794269731,6.642422509743531,10.038949676648901,7.87468105532321,8.9252724484283,11.938522004341301,10.697807672464199,13.0579536737909,12.2913443336991,10.2999222474755,9.42367262985559,11.425600499216301,12.565873228304698,
